,行政区,price,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源
0,虹口,850,297.5万,29323元,中外环,久久公寓(虹口江湾镇)地图,sh4558942举报假一赔百细则,3室2厅2卫,有(一梯二户),157.23平,暂无数据,低区/8层,中装,南,2002-04-02,满五,置换,住宅 - 公寓,57614元/平,2001年,住宅 - 公寓,11栋,189户,上环房地产物业,上海上环房地产开发有限公司,7套在售二手房1套在租房源
1,长宁,960,336万,33117元,内环内,淮海世纪花苑(长宁新华路)地图,sh4702459举报假一赔百细则,4室2厅2卫,有(二梯二户),148.49平,暂无数据,低区/20层,精装,南,2002-12-01,满五,折现,住宅 - 公寓,71844元/平,2002年,住宅 - 公寓,5栋,121户,上海绿地物业服务有限公司、绿地物业,上海兴宇集团有限公司,2套在售二手房2套在租房源
2,长宁,258,90.3万,8900元,中外环,虹延小区(长宁西郊)地图,sh4549676举报假一赔百细则,1室1厅1卫,暂无数据,40.53平,暂无数据,中区/5层,暂无数据,南,暂无数据,满五,折现,住宅 - 公寓,66456元/平,1995~1999年,住宅 - 公寓、住宅 - 新里,29栋,425户,上海虹霞物业管理公司、古北物业,上海隆昇工程建筑公司,14套在售二手房9套在租房源
3,杨浦,500,175万,17249元,内中环,双花公寓(杨浦黄兴公园)地图,sh4543965举报假一赔百细则,2室1厅1卫,有(二梯八户),77.7平,暂无数据,中区/19层,精装,南,暂无数据,满五,置换,住宅 - 公寓,67992元/平,1984~1991年,住宅 - 公寓,6栋,680户,上海杨浦区市政建设物业有限公司、上海杨浦物业管理有限公司,上海凯晨房地产开发有限公司,24套在售二手房5套在租房源
4,虹口,250,87.5万,8624元,内环内,大二小区(虹口曲阳)地图,sh4534309举报假一赔百细则,1室0厅1卫,暂无数据,37.6平,暂无数据,低区/6层,简装,南,暂无数据,满五,折现,住宅 - 公寓,62967元/平,1957~1996年,住宅 - 公寓、商业类、住宅 - 新里,68栋,1807户,上海新长宁集团华阳物业有限公司、上海宏阳物业有限公司、宏阳物业,上海新长宁集团有限公司,32套在售二手房1套在租房源
5,长宁,296,103.6万,10211元,内环内,金谷苑(长宁中山公园)地图,sh4528857举报假一赔百细则,1室0厅1卫,有(二梯十户),42.98平,暂无数据,低区/19层,中装,南,暂无数据,满五,折现,住宅 - 公寓,74513元/平,1994年,住宅 - 公寓,3栋,552户,上海申达物业发展公司,长宁集团,5套在售二手房3套在租房源
6,闸北,930,325.5万,32082元,内中环,新梅共和城(闸北大宁)地图,sh4429161举报假一赔百细则,3室2厅1卫,有(一梯二户),115.74平,暂无数据,低区/14层,精装,南北,2007-01-01,满五,置换,住宅 - 公寓,74542元/平,2002~2006年,住宅 - 公寓、商业类,88栋,2508户,上海兴盛物业有限公司、上海上实物业管理有限公司、兴盛物业,上海新梅房地产开发有限公司,27套在售二手房11套在租房源
7,黄浦,1120,392万,38637元,内环内,南文大厦(黄浦老西门)地图,sh4366648举报假一赔百细则,3室2厅2卫,有(二梯六户),145.12平,暂无数据,中区/27层,中装,南,2002-06-28,满五,折现,住宅 - 公寓,79569元/平,暂无信息,住宅 - 公寓,1栋,141户,上海文化花园物业管理有限公司,上海文中房产开发经营公司,6套在售二手房1套在租房源
8,宝山,250,87.5万,8624元,外环外,古北菊翔苑（菊联路232弄）(宝山顾村)地图,sh4863622举报假一赔百细则,1室1厅1卫,暂无数据,50.93平,暂无数据,低区/6层,暂无数据,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,44660元/平,2008年,住宅 - 公寓,36栋,801户,上海捷森物业服务发展有限公司、上海捷森物业管理有限公司、捷森物业,上海古北(集团)有限公司、古北集团,8套在售二手房8套在租房源
9,闵行,590,206.5万,20353元,外环外,紫欣公寓(闵行莘庄)地图,sh4759832举报假一赔百细则,2室2厅1卫,有(一梯二户),113.83平,暂无数据,低区/11层,简装,南,暂无数据,满五,折现,住宅 - 公寓,57754元/平,1999~2003年,住宅 - 公寓、住宅 - 写字楼,12栋,489户,上海紫泰物业管理公司、紫泰物业,上海紫都置业发展有限公司,9套在售二手房7套在租房源
10,长宁,1450,507.5万,50021元,内环内,申亚新华府(长宁新华路)地图,sh4568044举报假一赔百细则,4室2厅2卫,有(二梯三户),189.59平,暂无数据,低区/30层,精装,南北,2004-11-18,满五,折现,住宅 - 公寓,84174元/平,2002年,住宅 - 公寓,4栋,233户,上海银湾物业管理有限公司,上海申亚房地产有限公司,7套在售二手房3套在租房源
11,浦东,380,133万,13109元,内中环,南杨小区(浦东三林)地图,sh4546802举报假一赔百细则,2室1厅1卫,暂无数据,65.58平,暂无数据,低区/6层,中装,南北,2009-03-07,满五,折现,住宅 - 公寓,57419元/平,1994~2001年,住宅 - 公寓,164栋,3162户,天津丰凯物业管理有限公司、上海三杨物业公司,上海仁和置业有限公司、仁和房产公司,20套在售二手房13套在租房源
12,浦东,640,224万,22078元,中外环,御桥馨华苑(浦东御桥)地图,sh4543652举报假一赔百细则,3室3厅2卫,暂无数据,107.43平,暂无数据,高区/6层,精装,南北,2005-09-01,满五,折现,住宅 - 公寓,59241元/平,2004年,住宅 - 公寓,40栋,430户,上海建工物业有限公司、建工物业,绿城集团,6套在售二手房1套在租房源
13,杨浦,615,215.2万,21216元,中外环,文化名园(杨浦五角场)地图,sh4527757举报假一赔百细则,3室2厅1卫,暂无数据,106.02平,暂无数据,高区/6层,中装,南北,2009-07-21,满五,置换,住宅 - 公寓,68496元/平,2002~2003年,住宅 - 公寓,46栋,794户,上海诚意物业管理有限公司,上海万国企业发展有限公司,17套在售二手房6套在租房源
14,闵行,,,,,,,,,,,,,,,,,,,,,,,,,
15,杨浦,182,63.7万,6279元,内中环,控江五村(杨浦黄兴公园)地图,sh4478927举报假一赔百细则,1室0厅1卫,暂无数据,31.38平,暂无数据,高区/5层,精装,南,暂无数据,满五,其它,住宅 - 公寓,62104元/平,1957~2007年,住宅 - 公寓,127栋,3221户,卫百辛集团物业、卫百辛物业,老上海黄兴房产开发公司、老上海黄兴房产公司,63套在售二手房10套在租房源
16,宝山,455,159.2万,15696元,中外环,共富二村(宝山共富)地图,sh4436863举报假一赔百细则,3室2厅1卫,暂无数据,109.85平,暂无数据,中区/6层,精装,南北,2007-01-15,满五,置换,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,265栋,3370户,上海泰发物业发展公司,上海宝发房地产开发有限公司,58套在售二手房7套在租房源,,
17,闸北,1050,367.5万,36222元,内中环,明园森林都市(闸北大宁)地图,sh4367778举报假一赔百细则,3室2厅2卫,有(二梯六户),147.9平,暂无数据,低区/33层,毛坯,南北,2013-04-26,满二,置换,住宅 - 公寓,77681元/平,2007~2013年,住宅 - 公寓,18栋,2220户,上海恒联物业有限公司、上海诚悦物业管理有限公司,上海东北明园实业发展有限公司,46套在售二手房15套在租房源
18,长宁,330,115.5万,11384元,内环内,中华小区(长宁新华路)地图,sh4233273举报假一赔百细则,2室0厅1卫,暂无数据,47.67平,暂无数据,中区/7层,精装,南,2014-04-02,满二,折现,住宅 - 公寓,72580元/平,1977~1997年,住宅 - 公寓、住宅 - 新里,45栋,1082户,上海新华物业公司、新华物业,上海新长宁集团有限公司、长宁集团,32套在售二手房8套在租房源
19,闸北,360,126万,12419元,内环内,新赵家宅路36号(闸北西藏北路)地图,sh4867965举报假一赔百细则,2室1厅1卫,暂无数据,47.28平,暂无数据,中区/4层,暂无数据,南,2006-03-03,满五,折现,住宅 - 新里,76142元/平,1980年,住宅 - 公寓、住宅 - 新里,1栋,22户,暂无信息,暂无信息,1套在售二手房0套在租房源
20,闵行,525,183.8万,18111元,外环外,好世凤凰城(闵行颛桥)地图,sh4865790举报假一赔百细则,2室2厅1卫,暂无数据,89.33平,暂无数据,中区/4层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,55173元/平,2003~2004年,住宅 - 公寓,166栋,1648户,上海景瑞物业管理有限公司、上海和迅物业管理有限公司,上海好世置业有限公司,19套在售二手房7套在租房源
21,徐汇,1450,507.5万,50021元,内环内,颐峰苑(徐汇徐家汇)地图,sh4863150举报假一赔百细则,3室2厅2卫,有(二梯三户),141.16平,暂无数据,低区/18层,精装,南北,暂无数据,满五,折现,住宅 - 公寓,102720元/平,2005年,住宅 - 公寓,3栋,141户,上海云峰集团有限公司,上海荣峰房地产开发有限公司,1套在售二手房1套在租房源
22,闸北,1050,367.5万,36222元,内中环,慧芝湖花园(闸北大宁)地图,sh4862371举报假一赔百细则,2室2厅2卫,有(二梯四户),114.0平,暂无数据,高区/25层,精装,南,2006-10-31,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,37栋,3430户,上实物业管理有限公司、上海上实物业管理有限公司、上实物业,嘉华(中国)投资有限公司、香港嘉华集团,51套在售二手房36套在租房源,,
23,杨浦,420,147万,14489元,中外环,市光一村(杨浦中原)地图,sh4860904举报假一赔百细则,2室1厅1卫,有(二梯八户),69.58平,暂无数据,高区/18层,暂无数据,暂无数据,2000-02-13,满五,其它,住宅 - 公寓,57316元/平,1987~1998年,住宅 - 公寓、住宅 - 新里,114栋,3134户,上海恒联物业有限公司、恒联物业,上海市住宅开发中心第二分公司、中心集团,32套在售二手房5套在租房源
24,浦东,1220,427万,42087元,内环内,江临天下(浦东陆家嘴)地图,sh4856512举报假一赔百细则,3室2厅2卫,有(二梯三户),136.65平,暂无数据,低区/20层,精装,南,2003-04-15,满五,折现,住宅 - 公寓,89448元/平,2002~2003年,住宅 - 公寓,12栋,940户,上海东湖物业管理有限公司、上海东湖物业管理公司、东湖物业,上海浦东新区新翔房地产开发有限公司、新翔房地产有限公司,21套在售二手房31套在租房源
25,浦东,345,120.7万,11902元,内环内,潍坊八村(浦东潍坊)地图,sh4779499举报假一赔百细则,1室1厅1卫,暂无数据,40.8平,暂无数据,中区/6层,暂无数据,暂无数据,1970-01-01,满五,置换,住宅 - 公寓,住宅 - 公寓,73栋,1706户,上海浦东新区潍坊物业公司、潍坊物业,上海建工房产有限公司,22套在售二手房8套在租房源,,
26,普陀,185,64.8万,6382元,内中环,宜川五村(普陀甘泉宜川)地图,sh4762325举报假一赔百细则,1室1厅1卫,暂无数据,36.91平,暂无数据,高区/6层,暂无数据,暂无数据,2007-11-22,满五,置换,住宅 - 公寓,57389元/平,1973~1989年,住宅 - 公寓,90栋,2279户,上海中山物业有限公司,宜川社区,43套在售二手房6套在租房源
28,闸北,888,310.8万,30634元,内环内,绿洲雅宾利花园（二期）(闸北西藏北路)地图,sh4726276举报假一赔百细则,2室2厅1卫,有(二梯四户),82.8平,暂无数据,低区/29层,暂无数据,暂无数据,2012-04-12,满五,置换,住宅 - 公寓,99623元/平,2010年,住宅 - 公寓,5栋,420户,上海利物得物业管理有限责任公司,暂无信息,10套在售二手房6套在租房源
29,长宁,345,120.7万,11902元,内中环,虹一小区(长宁虹桥)地图,sh4642058举报假一赔百细则,2室1厅1卫,暂无数据,50.8平,暂无数据,高区/6层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,71085元/平,1978~1985年,住宅 - 公寓,39栋,855户,海联物业、上海新长宁集团新华物业有限公司,上海新长宁（集团）有限公司、长宁集团,22套在售二手房1套在租房源
30,杨浦,240,84万,8279元,内中环,控江西三村(杨浦黄兴公园)地图,sh4629769举报假一赔百细则,2室0厅1卫,暂无数据,41.0平,暂无数据,中区/5层,简装,南,暂无数据,满五,折现,住宅 - 公寓,61235元/平,1993~2004年,住宅 - 公寓,60栋,1285户,延吉物业,老上海黄兴房产公司,14套在售二手房1套在租房源
31,浦东,1699,594.6万,58611元,内环内,仁恒滨江园(浦东陆家嘴)地图,sh4624709举报假一赔百细则,3室2厅2卫,有(二梯四户),165.76平,暂无数据,高区/33层,精装,西北,2007-08-10,满五,折现,住宅 - 公寓,104065元/平,1998~2003年,住宅 - 别墅、住宅 - 公寓,43栋,1945户,上海仁恒物业管理有限公司,上海仁恒房地产有限公司、仁恒置业,47套在售二手房89套在租房源
32,浦东,520,182万,17939元,中外环,未来域(浦东三林)地图,sh4604659举报假一赔百细则,2室1厅1卫,暂无数据,79.98平,暂无数据,中区/3层,精装,东南,2008-11-10,满五,置换,住宅 - 公寓,65481元/平,2006年,住宅 - 公寓,56栋,1016户,上海金地物业服务有限公司、金地物业,金地(集团)深圳地产公司、金地集团,17套在售二手房12套在租房源
33,黄浦,2320,812万,80034元,内环内,老西门新苑(黄浦老西门)地图,sh4550649举报假一赔百细则,4室2厅3卫,有(三梯三户),288.3平,暂无数据,低区/44层,暂无数据,暂无数据,2007-07-26,满五,折现,住宅 - 公寓,89242元/平,2006年,住宅 - 公寓、商业类、住宅 - 写字楼,7栋,710户,中信泰富（上海）物业管理有限公司、中信泰富物业,上海老西门新苑置业有限公司、西上海集团,16套在售二手房17套在租房源
34,普陀,246,86.1万,8486元,外环外,桃浦一村瑞香苑(普陀桃浦)地图,sh4523650举报假一赔百细则,2室1厅1卫,暂无数据,60.75平,暂无数据,中区/5层,中装,南,暂无数据,满五,置换,住宅 - 公寓,44719元/平,1960~1995年,住宅 - 公寓,114栋,2443户,上海西部物业有限公司、上海普陀物业有限公司,上海桃浦房地产开发有限公司,26套在售二手房2套在租房源
