,totalprice,xiaoqu,huxing,mianji,chaoxiang,zhuangxiu,dianti,guanzhu,daikan,fabu,mianji_num,mi,group_mianji,guanzhu_num,ren,group_guanzhu,label
34,746.0,裕中东里  , 2室1厅 , 65.1平米 , 南 北 , 精装,,121人关注 , 共76次带看 , 1个月以前发布,65.1,米 ,50-100,121.0,关注 ,100-200,2
35,695.0,兴隆家园  , 3室1厅 , 108.98平米 , 南 北 , 简装,,65人关注 , 共75次带看 , 1个月以前发布,108.98,米 ,100-150,65.0,关注 ,小于100,2
36,330.0,枣园小区  , 3室1厅 , 82.57平米 , 南 北 , 简装,,76人关注 , 共64次带看 , 3个月以前发布,82.57,米 ,50-100,76.0,关注 ,小于100,0
37,415.0,松榆东里  , 2室2厅 , 73.72平米 , 西南 东北 , 简装,,158人关注 , 共56次带看 , 1个月以前发布,73.72,米 ,50-100,158.0,关注 ,100-200,0
38,620.0,柏林爱乐一期  , 2室1厅 , 100.92平米 , 南 北 , 简装,,36人关注 , 共23次带看 , 23天以前发布,100.92,米 ,100-150,36.0,关注 ,小于100,0
39,710.0,首开知语城  , 2室2厅 , 89.9平米 , 东北 , 简装,,47人关注 , 共21次带看 , 29天以前发布,89.9,米 ,50-100,47.0,关注 ,小于100,2
40,340.0,群芳园  , 2室1厅 , 80.16平米 , 南 北 , 精装,,87人关注 , 共28次带看 , 17天以前发布,80.16,米 ,50-100,87.0,关注 ,小于100,0
41,445.0,鸿业兴园二区  , 2室1厅 , 88.14平米 , 南 北 , 精装,,68人关注 , 共27次带看 , 16天以前发布,88.14,米 ,50-100,68.0,关注 ,小于100,0
42,545.0,北苑家园茉藜园  , 2室1厅 , 98.36平米 , 东南 , 精装,,44人关注 , 共33次带看 , 28天以前发布,98.36,米 ,50-100,44.0,关注 ,小于100,0
43,435.0,莲怡园北路1号院  , 3室1厅 , 71.46平米 , 南 北 , 简装 , 无电梯,43人关注 , 共22次带看 , 15天以前发布,71.46,米 ,50-100,43.0,关注 ,小于100,0
44,363.0,延静西里  , 2室1厅 , 55.42平米 , 南 北 , 简装,,42人关注 , 共16次带看 , 5天以前发布,55.42,米 ,50-100,42.0,关注 ,小于100,0
45,866.0,知春路82号院  , 3室1厅 , 78.7平米 , 东南 , 毛坯,,26人关注 , 共13次带看 , 6天以前发布,78.7,米 ,50-100,26.0,关注 ,小于100,2
46,560.0,知春路丙18号院  , 2室1厅 , 59.3平米 , 南 北 , 其他,,31人关注 , 共19次带看 , 5天以前发布,59.3,米 ,50-100,31.0,关注 ,小于100,0
47,415.0,天通苑东三区  , 2室1厅 , 110.63平米 , 南 北 , 精装,,49人关注 , 共13次带看 , 4天以前发布,110.63,米 ,100-150,49.0,关注 ,小于100,0
48,890.0,惠新苑  , 2室2厅 , 128.31平米 , 南 北 , 简装,,91人关注 , 共77次带看 , 2个月以前发布,128.31,米 ,100-150,91.0,关注 ,小于100,2
49,385.0,绿岛家园  , 2室1厅 , 102.37平米 , 南 北 , 简装,,55人关注 , 共39次带看 , 2个月以前发布,102.37,米 ,100-150,55.0,关注 ,小于100,0
50,480.0,柳芳北里  , 2室1厅 , 60.15平米 , 南 , 精装,,70人关注 , 共65次带看 , 6个月以前发布,60.15,米 ,50-100,70.0,关注 ,小于100,0
51,700.0,莲花小区  , 3室1厅 , 110.05平米 , 西南 , 简装,,43人关注 , 共57次带看 , 2个月以前发布,110.05,米 ,100-150,43.0,关注 ,小于100,2
52,920.0,化工大院  , 3室1厅 , 96.26平米 , 南 北 , 精装,,101人关注 , 共42次带看 , 1个月以前发布,96.26,米 ,50-100,101.0,关注 ,100-200,2
53,718.0,彩虹城三区  , 3室1厅 , 117.65平米 , 南 北 , 其他,,5人关注 , 共50次带看 , 1个月以前发布,117.65,米 ,100-150,5.0,关注 ,小于100,2
54,378.0,石佛营东里小区  , 2室1厅 , 58.28平米 , 南 北 , 精装,,152人关注 , 共94次带看 , 2个月以前发布,58.28,米 ,50-100,152.0,关注 ,100-200,0
55,455.0,悠胜美苑  , 1室1厅 , 70.17平米 , 东北 , 精装,,109人关注 , 共73次带看 , 2个月以前发布,70.17,米 ,50-100,109.0,关注 ,100-200,0
56,770.0,中堂  , 2室2厅 , 113.36平米 , 南 北 , 毛坯,,72人关注 , 共81次带看 , 3个月以前发布,113.36,米 ,100-150,72.0,关注 ,小于100,2
57,228.0,惠民家园  , 1室1厅 , 54.85平米 , 南 , 简装,,25人关注 , 共24次带看 , 20天以前发布,54.85,米 ,50-100,25.0,关注 ,小于100,0
58,353.0,北京新天地  , 1室1厅 , 61.03平米 , 北 , 精装,,39人关注 , 共28次带看 , 16天以前发布,61.03,米 ,50-100,39.0,关注 ,小于100,0
59,450.0,佰嘉城  , 3室1厅 , 118.09平米 , 南 北 东北 , 精装,,21人关注 , 共10次带看 , 6天以前发布,118.09,米 ,100-150,21.0,关注 ,小于100,0
60,598.0,劳动关系学院  , 2室1厅 , 60.2平米 , 南 北 , 简装,,28人关注 , 共14次带看 , 13天以前发布,60.2,米 ,50-100,28.0,关注 ,小于100,0
61,450.0,佰嘉城  , 3室1厅 , 118.09平米 , 南 北 东北 , 精装,,21人关注 , 共10次带看 , 6天以前发布,118.09,米 ,100-150,21.0,关注 ,小于100,0
