,Unnamed: 0,行政区,总价,地点,车位,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源,area,平方米
243,243,杨浦,950,"双阳北路288弄, 国顺东路889号",暂无数据,332.5万,32772元,内中环,公园3000黄兴花园(杨浦黄兴公园)地图,sh4779084举报假一赔百细则,3室2厅2卫,有(一梯三户),132.12平,暂无数据,低区/18层,简装,南北,2006-12-23,满五,置换,住宅 - 公寓,83907元/平,2002~2003年,住宅 - 别墅、住宅 - 公寓,149栋,1884户,上海延吉物业管理有限公司、延吉物业,上海新耀房地产开发有限公司,21套在售二手房9套在租房源,132.12,
244,244,徐汇,780,龙华路2506-2508号,无,273万,26908元,内中环,龙华雅居(徐汇龙华)地图,sh4779009举报假一赔百细则,3室2厅2卫,暂无数据,107.91平,暂无数据,中区/7层,豪装,南,1999-09-03,满五,置换,住宅 - 公寓,住宅 - 公寓,2栋,30户,暂无信息,暂无信息,2套在售二手房0套在租房源,,,107.91,
245,245,长宁,640,虹桥路1167弄,暂无数据,224万,22078元,内中环,中华别墅(长宁虹桥)地图,sh4778384举报假一赔百细则,2室2厅1卫,暂无数据,81.0平,暂无数据,高区/4层,中装,暂无数据,暂无数据,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,20栋,180户,新顺物业,暂无信息,1套在售二手房1套在租房源,,,81.0,
246,246,黄浦,690,"海潮路3号,海潮路33号,海潮路93弄,陆家浜路388号,陆家浜路418号",无,241.5万,23803元,内环内,中福花苑(黄浦蓬莱公园)地图,sh4778315举报假一赔百细则,3室2厅2卫,有(二梯十九户),68.33平,暂无数据,中区/15层,精装,东,2004-08-05,满五,置换,住宅 - 公寓,99596元/平,2003年,住宅 - 公寓,9栋,1493户,上海中福联合物业管理有限公司,上海中福地产置业有限公司,40套在售二手房22套在租房源,68.33,
247,247,浦东,880,御桥路288弄,无,308万,30358元,中外环,未来域(浦东三林)地图,sh4777706举报假一赔百细则,3室2厅2卫,有(一梯三户),133.76平,暂无数据,高区/18层,精装,南北,2007-08-01,满五,折现,住宅 - 公寓,65186元/平,2006年,住宅 - 公寓,56栋,1016户,上海金地物业服务有限公司、金地物业,金地(集团)深圳地产公司、金地集团,17套在售二手房12套在租房源,133.76,
248,248,徐汇,1520,宛平南路255弄,无,532万,52436元,内环内,徐家汇花园(徐汇徐家汇)地图,sh4777352举报假一赔百细则,3室2厅2卫,有(二梯三户),158.97平,暂无数据,中区/26层,精装,南北,2005-03-31,满五,折现,住宅 - 公寓,92961元/平,2000~2004年,住宅 - 公寓,34栋,1171户,上海汇银物业管理有限公司、上海汇银物业管理有限公司,上海徐汇房产经营有限公司、上海徐汇商建房地产有限公司,15套在售二手房18套在租房源,158.97,
249,249,浦东,740,昌里东路320弄,无,259万,25528元,内中环,新昌里公寓(浦东世博)地图,sh4777291举报假一赔百细则,3室2厅1卫,暂无数据,94.7平,暂无数据,低区/6层,中装,南,2007-08-31,满五,置换,住宅 - 公寓,75094元/平,2005年,住宅 - 公寓,32栋,360户,中星物业,中星集团,8套在售二手房1套在租房源,94.7,
250,250,闸北,680,晋城路663弄,无,238万,23458元,内中环,阳城世家苑(闸北阳城)地图,sh4776778举报假一赔百细则,2室2厅1卫,有(一梯二户),96.82平,暂无数据,高区/14层,精装,南,2008-08-01,满五,置换,住宅 - 公寓,67819元/平,2007年,住宅 - 公寓,38栋,906户,大华集团、龙盛物业管理有限公司、大华物业,上海阳城房地产有限公司、上海阳城花园房地产有限公司,7套在售二手房2套在租房源,96.82,
251,251,松江,700,广富林路1518弄,有,245万,24148元,外环外,绿地蔷薇九里（别墅）(松江松江大学城)地图,sh4776527举报假一赔百细则,3室2厅4卫,暂无数据,131.0平,暂无数据,地上3层,毛坯,南,2012-01-14,满五,折现,住宅 - 别墅,53508元/平,2010年,住宅 - 别墅,527栋,527户,上海欣周物业管理有限公司,绿城集团,9套在售二手房10套在租房源,131.0,
252,252,宝山,340,共富二村,无,119万,11729元,中外环,共富二村(宝山共富)地图,sh4776458举报假一赔百细则,2室1厅1卫,暂无数据,80.31平,暂无数据,高区/6层,简装,南北,暂无数据,满五,置换,住宅 - 公寓,42164元/平,1995~2006年,住宅 - 公寓、住宅 - 新里,265栋,3370户,上海泰发物业发展公司,上海宝发房地产开发有限公司,57套在售二手房7套在租房源,80.31,
