,Unnamed: 0,行政区,总价,地点,车位,最低首付,参考月供,环线信息,小区名称,房源编号,房屋户型,配备电梯,areas,供暖方式,所在楼层,装修情况,房屋朝向,上次交易,房本年限,售房原因,房屋类型,挂牌均价,建筑年代,物业类型,楼栋总数,房屋总数,物业公司,开发商,挂牌房源,area,平方米
20,20,闸北,1050,"平型关路1083弄（一、二期）,平型关路1088弄（三期）,平型关路1018号",暂无数据,367.5万,36222元,内中环,慧芝湖花园(闸北大宁)地图,sh4862371举报假一赔百细则,2室2厅2卫,有(二梯四户),114.0平,暂无数据,高区/25层,精装,南,2006-10-31,满五,暂无数据,住宅 - 公寓,住宅 - 公寓,37栋,3430户,上实物业管理有限公司、上海上实物业管理有限公司、上实物业,嘉华(中国)投资有限公司、香港嘉华集团,51套在售二手房35套在租房源,,,114.0,
21,21,杨浦,420,市光一村,无,147万,14489元,中外环,市光一村(杨浦中原)地图,sh4860904举报假一赔百细则,2室1厅1卫,有(二梯八户),69.58平,暂无数据,高区/18层,暂无数据,暂无数据,2000-02-13,满五,其它,住宅 - 公寓,57316元/平,1987~1998年,住宅 - 公寓、住宅 - 新里,114栋,3134户,上海恒联物业有限公司、恒联物业,上海市住宅开发中心第二分公司、中心集团,32套在售二手房5套在租房源,69.58,
22,22,浦东,1220,浦明路233弄,无,427万,42087元,内环内,江临天下(浦东陆家嘴)地图,sh4856512举报假一赔百细则,3室2厅2卫,有(二梯三户),136.65平,暂无数据,低区/20层,精装,南,2003-04-15,满五,折现,住宅 - 公寓,89448元/平,2002~2003年,住宅 - 公寓,12栋,940户,上海东湖物业管理有限公司、上海东湖物业管理公司、东湖物业,上海浦东新区新翔房地产开发有限公司、新翔房地产有限公司,21套在售二手房31套在租房源,136.65,
23,23,徐汇,295,田林十四村,无,103.2万,10177元,内中环,田林十四村(徐汇田林)地图,sh4804766举报假一赔百细则,1室1厅1卫,暂无数据,32.37平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,82383元/平,1987~1994年,住宅 - 公寓,68栋,2727户,上海安得物业管理有限公司、上海田林物业有限公司、田林新村物业管理公司,上海徐汇房产经营有限公司,23套在售二手房12套在租房源,32.37,
24,24,杨浦,500,政立路580弄,无,175万,17249元,中外环,财大小区(杨浦五角场)地图,sh4804070举报假一赔百细则,4室2厅1卫,暂无数据,76.28平,暂无数据,低区/6层,精装,南北,2010-08-31,满五,折现,住宅 - 公寓,63740元/平,1992~1999年,住宅 - 公寓,89栋,1919户,上海凯晨物业管理有限公司、上海城建物业管理有限公司,财经大学,20套在售二手房7套在租房源,76.28,
25,25,浦东,345,"浦电路331弄,浦电路305弄",无,120.7万,11902元,内环内,潍坊八村(浦东潍坊)地图,sh4779499举报假一赔百细则,1室1厅1卫,暂无数据,40.8平,暂无数据,中区/6层,暂无数据,暂无数据,1970-01-01,满五,置换,住宅 - 公寓,住宅 - 公寓,73栋,1706户,上海浦东新区潍坊物业公司、潍坊物业,上海建工房产有限公司,22套在售二手房9套在租房源,,,40.8,
26,26,普陀,185,"宜川五村,华阴路193号,华阴路195号,华阴路197号,华阴路199号,华阴路201号,华阴路203号,宜川五村",无,64.8万,6382元,内中环,宜川五村(普陀甘泉宜川)地图,sh4762325举报假一赔百细则,1室1厅1卫,暂无数据,36.91平,暂无数据,高区/6层,简装,南北,2007-11-22,满五,置换,住宅 - 公寓,57492元/平,1973~1989年,住宅 - 公寓、住宅 - 新里,91栋,2281户,上海中山物业有限公司,宜川社区,43套在售二手房4套在租房源,36.91,
27,27,浦东,666,"康桥路1633弄, 康桥路1657弄",无,233.1万,22975元,绿洲康城亲水湾（东区）(浦东御桥)地图,sh4759481举报假一赔百细则,3室2厅2卫,有(一梯三户),130.23平,暂无数据,中区/14层,精装,南北,2012-01-01,满五,折现,住宅 - 公寓,54297元/平,2010年,住宅 - 公寓,20栋,771户,上海中远物业管理发展有限公司,暂无信息,21套在售二手房10套在租房源,,暂无数据,
28,28,宝山,400,"行知路356弄,大华路1500弄,行知路382弄,大华路1380弄",无,140万,13799元,内中环,好旺花苑(宝山大华)地图,sh4730631举报假一赔百细则,2室1厅1卫,暂无数据,64.58平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,52658元/平,1996~1997年,住宅 - 公寓,86栋,1050户,上海恒联物业有限公司、上海大华物业管理有限公司、大华物业、鸿誉物业,大华集团上海华宜置业有限公司,15套在售二手房4套在租房源,64.58,
29,29,闸北,888,宝昌路399弄,无,310.8万,30634元,内环内,绿洲雅宾利花园（二期）(闸北西藏北路)地图,sh4726276举报假一赔百细则,2室2厅1卫,有(二梯四户),82.8平,暂无数据,低区/29层,暂无数据,暂无数据,2012-04-12,满五,置换,住宅 - 公寓,99623元/平,2010年,住宅 - 公寓,5栋,420户,上海利物得物业管理有限责任公司,暂无信息,10套在售二手房6套在租房源,82.8,
30,30,浦东,1699,"浦明路99弄（一、二期）,浦城路99弄（三期）",无,594.6万,58611元,内环内,仁恒滨江园(浦东陆家嘴)地图,sh4624709举报假一赔百细则,3室2厅2卫,有(二梯四户),165.76平,暂无数据,高区/33层,精装,西北,2007-08-10,满五,折现,住宅 - 公寓,104260元/平,1998~2003年,住宅 - 别墅、住宅 - 公寓,43栋,1945户,上海仁恒物业管理有限公司,上海仁恒房地产有限公司、仁恒置业,47套在售二手房90套在租房源,165.76,
31,31,宝山,355,蕴川路1498弄,无,124.2万,12247元,外环外,天馨花园（公寓）(宝山杨行)地图,sh4603489举报假一赔百细则,2室2厅1卫,暂无数据,80.44平,暂无数据,高区/6层,精装,南,2007-12-31,满五,置换,住宅 - 公寓,42059元/平,1998~2009年,住宅 - 公寓,275栋,3370户,上海天馨物业管理服务有限公司,上海天馨置业有限公司,86套在售二手房17套在租房源,80.44,
32,32,黄浦,2320,西藏南路688弄,无,812万,80034元,内环内,老西门新苑(黄浦老西门)地图,sh4550649举报假一赔百细则,4室2厅3卫,有(三梯三户),288.3平,暂无数据,低区/44层,暂无数据,暂无数据,2007-07-26,满五,折现,住宅 - 公寓,89242元/平,2006年,住宅 - 公寓、商业类、住宅 - 写字楼,7栋,710户,中信泰富（上海）物业管理有限公司、中信泰富物业,上海老西门新苑置业有限公司、西上海集团,16套在售二手房17套在租房源,288.3,
33,33,普陀,246,武威路1087弄,无,86.1万,8486元,外环外,桃浦一村瑞香苑(普陀桃浦)地图,sh4523650举报假一赔百细则,2室1厅1卫,暂无数据,60.75平,暂无数据,中区/5层,中装,南,暂无数据,满五,置换,住宅 - 公寓,44719元/平,1960~1995年,住宅 - 公寓,114栋,2443户,上海西部物业有限公司、上海普陀物业有限公司,上海桃浦房地产开发有限公司,26套在售二手房2套在租房源,60.75,
34,34,宝山,145,泰和路309弄,无,50.8万,5002元,外环外,泰和路309弄(宝山淞宝)地图,sh4523189举报假一赔百细则,1室0厅1卫,暂无数据,32.68平,暂无数据,低区/5层,暂无数据,暂无数据,暂无数据,满五,置换,住宅 - 公寓,43223元/平,1966~1993年,住宅 - 公寓,17栋,366户,上海宝房（集团）海滨物业服务有限公司、海滨物业,宝辰集团控股有限公司,7套在售二手房0套在租房源,32.68,
35,35,浦东,600,东方路1957弄,无,210万,20698元,内中环,鹏欣家园(浦东塘桥)地图,sh4460933举报假一赔百细则,2室2厅1卫,暂无数据,89.0平,暂无数据,高区/6层,精装,南北,2008-04-04,满五,置换,住宅 - 公寓,68563元/平,1998年,住宅 - 公寓,31栋,374户,上海鹏欣物业服务有限公司,上海鹏欣（集团）有限公司,2套在售二手房1套在租房源,89.0,
36,36,浦东,600,"双桥路1139弄, 双桥路1108弄（金高路977弄）",无,210万,20698元,中外环,东源名都(浦东高行)地图,sh4397244举报假一赔百细则,2室2厅1卫,有(一梯二户),105.06平,暂无数据,中区/14层,暂无数据,暂无数据,2009-03-01,满五,折现,住宅 - 公寓,58535元/平,2007~2012年,住宅 - 公寓,61栋,2676户,上海海迩斯物业管理有限公司,上海源东房地产开发有限公司,28套在售二手房8套在租房源,105.06,
37,37,浦东,450,东明路355弄,无,157.5万,15524元,内中环,博爱家园(浦东世博)地图,sh4353177举报假一赔百细则,1室2厅1卫,暂无数据,64.24平,暂无数据,低区/6层,暂无数据,暂无数据,暂无数据,满五,折现,住宅 - 公寓,69266元/平,2001~2003年,住宅 - 公寓,66栋,912户,上南物业公司,上海南博房产有限公司,9套在售二手房5套在租房源,64.24,
38,38,杨浦,210,开鲁路456弄,无,73.5万,7244元,中外环,开鲁四村(杨浦中原)地图,sh4580625举报假一赔百细则,1室1厅1卫,暂无数据,41.5平,暂无数据,高区/6层,简装,南,2005-04-06,满五,折现,住宅 - 公寓,54155元/平,1980~1998年,住宅 - 公寓、住宅 - 写字楼、住宅 - 新里,85栋,1722户,上海凯晨物业管理有限公司、上海卫百辛(集团)有限公司、卫百辛物业,城建二司、市建,27套在售二手房6套在租房源,41.5,
39,39,宝山,275,共和新路4739弄,无,96.2万,9487元,中外环,民主敦发小区(宝山张庙)地图,sh4843089举报假一赔百细则,1室1厅1卫,暂无数据,61.58平,暂无数据,高区/6层,中装,南北,1998-11-30,满五,置换,住宅 - 公寓,49838元/平,1996~1997年,住宅 - 公寓,24栋,383户,金泰物业,上海宝宸(集团)有限公司,3套在售二手房1套在租房源,61.58,
40,40,松江,320,涞寅路658弄,无,112万,11039元,外环外,绿庭尚城(松江九亭)地图,sh4752981举报假一赔百细则,2室1厅1卫,有(二梯六户),66.2平,暂无数据,高区/22层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,45689元/平,2008~2013年,住宅 - 公寓,87栋,3877户,上海复瑞物业管理有限公司、上海复瑞物业管理有限公司、富瑞物业,上海绿庭房地产开发有限公司、上海绿庭集团有限公司,96套在售二手房23套在租房源,66.2,
41,41,浦东,320,"康佳路38弄,康佳路39弄",无,112万,11039元,外环外,康桥月苑(浦东康桥)地图,sh4545245举报假一赔百细则,2室1厅1卫,暂无数据,71.94平,暂无数据,低区/6层,毛坯,南北,2009-12-09,满五,置换,住宅 - 公寓,41919元/平,2009~2010年,住宅 - 公寓,118栋,1720户,上海豫园物业管理有限公司,上海雨润房地产开发有限公司,46套在售二手房6套在租房源,71.94,
42,42,普陀,510,靖边路199弄,无,178.5万,17594元,中外环,阳光威尼斯（三期）(普陀真光)地图,sh4616763举报假一赔百细则,3室2厅1卫,有(二梯五户),112.04平,暂无数据,低区/26层,简装,东南,2006-12-07,满五,折现,住宅 - 公寓,50576元/平,2006年,住宅 - 公寓,25栋,2744户,上海阳光物业管理有限公司,上海意景房产开发有限公司,43套在售二手房6套在租房源,112.04,
43,43,松江,225,泽悦路325弄,无,78.8万,7762元,外环外,茉莉雅苑(松江泗泾)地图,sh4407009举报假一赔百细则,2室1厅1卫,有(二梯四户),71.93平,暂无数据,低区/13层,毛坯,南,2012-08-01,满五,折现,住宅 - 公寓,33998元/平,2012年,住宅 - 公寓,27栋,1367户,上海新凯物业管理公司,上海韵意房地产开发有限公司,31套在售二手房8套在租房源,71.93,
44,44,浦东,340,上川路1468弄,无,119万,11729元,外环外,上川路1468弄(浦东曹路)地图,sh4376222举报假一赔百细则,3室2厅1卫,暂无数据,94.31平,暂无数据,低区/6层,精装,南北,2007-08-08,满五,折现,住宅 - 公寓,38046元/平,1995~1997年,住宅 - 公寓,12栋,204户,云琦物业,上海曹路房地产开发经营公司,3套在售二手房1套在租房源,94.31,
45,45,徐汇,320,罗城路700弄,无,112万,11039元,内中环,罗城小区(徐汇上海南站)地图,sh4599490举报假一赔百细则,1室1厅1卫,暂无数据,49.66平,暂无数据,中区/6层,毛坯,南,暂无数据,未满二,置换,住宅 - 公寓,61658元/平,1997年,住宅 - 公寓,93栋,1156户,上海徐房物业管理有限公司、闵行物业,上海金牛房地产有限公司,13套在售二手房6套在租房源,49.66,
46,46,徐汇,320,东安四村（宛平南路727弄）,无,112万,11039元,内环内,东安四村(徐汇徐家汇)地图,sh4575506举报假一赔百细则,1室1厅1卫,暂无数据,39.25平,暂无数据,高区/6层,简装,南,2016-09-27,未满二,折现,住宅 - 公寓,79589元/平,1975~1996年,住宅 - 公寓,48栋,1067户,上海高建物业有限公司,上海市奉贤区住宅建设总公司,13套在售二手房5套在租房源,39.25,
47,47,徐汇,670,"小木桥路518弄,小木桥路538弄",无,234.5万,23113元,内环内,新湖云庭(徐汇斜土路)地图,sh4811125举报假一赔百细则,2室2厅1卫,有(二梯七户),83.31平,暂无数据,低区/23层,简装,东,暂无数据,满五,折现,住宅 - 公寓,79103元/平,2005年,住宅 - 公寓,4栋,663户,上海新湖物业管理有限责任公司、新湖物业,上海源江置业发展有限公司,12套在售二手房8套在租房源,83.31,
48,48,宝山,330,菊联路232弄,无,115.5万,11384元,外环外,古北菊翔苑（菊联路232弄）(宝山顾村)地图,sh4620212举报假一赔百细则,2室2厅1卫,有(一梯三户),75.25平,暂无数据,中区/8层,精装,南,暂无数据,满五,置换,住宅 - 公寓,44747元/平,2008年,住宅 - 公寓,36栋,801户,上海捷森物业服务发展有限公司、上海捷森物业管理有限公司、捷森物业,上海古北(集团)有限公司、古北集团,8套在售二手房8套在租房源,75.25,
49,49,浦东,760,"康桥路1633弄, 康桥路1657弄",无,266万,26218元,绿洲康城亲水湾（东区）(浦东御桥)地图,sh4430029举报假一赔百细则,3室2厅2卫,有(一梯三户),124.35平,暂无数据,高区/12层,精装,南北,暂无数据,未满二,置换,住宅 - 公寓,54297元/平,2010年,住宅 - 公寓,20栋,771户,上海中远物业管理发展有限公司,暂无信息,21套在售二手房10套在租房源,,暂无数据,
50,50,黄浦,550,肇周路417号,无,192.5万,18973元,内环内,肇周路417号(黄浦老西门)地图,sh2114098举报假一赔百细则,3室1厅1卫,暂无数据,66.39平,暂无数据,高区/6层,暂无数据,暂无数据,暂无数据,未满二,折现,住宅 - 公寓,82843元/平,1980~1981年,住宅 - 公寓、商业类,3栋,49户,上海上房物业管理有限公司、上房物业,暂无信息,1套在售二手房1套在租房源,66.39,
51,51,虹口,620,"曲阳路455弄,曲阳路465弄",无,217万,21388元,内环内,曲阳新村(虹口鲁迅公园)地图,sh4564181举报假一赔百细则,3室1厅1卫,暂无数据,84.79平,暂无数据,中区/6层,精装,南,暂无数据,满五,折现,住宅 - 公寓,73121元/平,1993~1994年,住宅 - 公寓,5栋,90户,暂无信息,虹房置业,1套在售二手房0套在租房源,84.79,
52,52,黄浦,328,"蒙自西路28弄,蒙自西路62弄,蒙自西路72弄,丽园路857-893号（单号）,蒙自西路2-82号（双号）",无,114.8万,11315元,内环内,蒙西小区(黄浦五里桥)地图,sh4560656举报假一赔百细则,1室0厅1卫,有(一梯五户),33.25平,暂无数据,中区/7层,精装,西,2012-11-11,满五,置换,住宅 - 公寓,90268元/平,1980~1996年,住宅 - 公寓、住宅 - 写字楼,60栋,1446户,上海永理置业管理有限公司,暂无信息,20套在售二手房16套在租房源,33.25,
53,53,闸北,460,共和新路555弄,无,161万,15869元,内环内,绿厦小区(闸北西藏北路)地图,sh4541829举报假一赔百细则,2室1厅1卫,有(一梯七户),62.08平,暂无数据,中区/9层,精装,南,2000-03-01,满五,置换,住宅 - 公寓,71117元/平,1981~1986年,住宅 - 公寓、住宅 - 新里,6栋,382户,广华实业,广华开发有限公司、广华实业有限公司,7套在售二手房0套在租房源,62.08,
54,54,浦东,865,"云山路835弄,云山路839弄",有,302.8万,29840元,内中环,上海未来(浦东金杨)地图,sh4419937举报假一赔百细则,2室2厅1卫,有(一梯二户),101.62平,暂无数据,低区/7层,精装,南,2008-09-04,满五,折现,住宅 - 公寓,83390元/平,2003~2005年,住宅 - 公寓,80栋,1093户,上海城投物业管理有限公司、城投物业,上海置城房地产有限公司,11套在售二手房7套在租房源,101.62,
55,55,虹口,470,新市南路1225弄,无,164.5万,16214元,中外环,龙腾小区(虹口江湾镇)地图,sh4409095举报假一赔百细则,2室1厅1卫,暂无数据,79.0平,暂无数据,高区/5层,精装,南北,2012-08-10,满五,折现,住宅 - 公寓,58554元/平,2001年,住宅 - 公寓,16栋,273户,上海江湾物业管理有限公司,上海龙腾建筑有限公司,4套在售二手房0套在租房源,79.0,
56,56,虹口,500,"赤峰路370弄,曲阳路610弄,曲阳路620号,曲阳路630弄,曲阳路640号,曲阳路650号",无,175万,17249元,内环内,赤峰小区(虹口曲阳)地图,sh4406191举报假一赔百细则,2室1厅1卫,有(二梯七户),85.93平,暂无数据,低区/24层,精装,东南,暂无数据,满五,置换,住宅 - 公寓,70079元/平,1983~1994年,住宅 - 公寓,58栋,3551户,上海虹房物业集团、大柏树物业,上海虹房(集团)有限公司、虹房置业,50套在售二手房9套在租房源,85.93,
57,57,浦东,880,博山东路811弄,无,308万,30358元,内中环,东方知音苑(浦东金杨)地图,sh4359539举报假一赔百细则,3室2厅2卫,有(一梯二户),113.61平,暂无数据,低区/7层,中装,南北,2009-07-08,满五,折现,住宅 - 公寓,82586元/平,2002~2003年,住宅 - 公寓,95栋,1464户,上海复瑞物业管理有限公司、上海复瑞物业管理有限公司、复瑞公司,复地集团,10套在售二手房12套在租房源,113.61,
58,58,浦东,1120,锦和路99弄,无,392万,38637元,内环内,上海绿城(浦东杨东)地图,sh4330531举报假一赔百细则,3室2厅1卫,有(一梯二户),125.61平,暂无数据,低区/13层,精装,南北,2006-04-06,满五,变现,住宅 - 公寓,94543元/平,2004~2007年,住宅 - 公寓,79栋,2632户,上海绿宇物业管理有限公司,上海绿宇房地产开发有限公司,41套在售二手房52套在租房源,125.61,
59,59,长宁,330,"中山西路340号,中山西路430号,中山西路450号",无,115.5万,11384元,内中环,科宁公寓(长宁中山公园)地图,sh4229837举报假一赔百细则,1室0厅1卫,有(二梯十二户),43.71平,暂无数据,中区/24层,简装,西南,2000-05-23,满五,置换,住宅 - 公寓,67822元/平,1991~1995年,住宅 - 公寓,3栋,644户,上海新长宁集团新程物业有限公司、上海物业,上海新长宁（集团）有限公司、长宁集团,5套在售二手房3套在租房源,43.71,
60,60,徐汇,508,"小木桥路511弄, 江南一村, 江南二村, 零陵路190弄",无,177.8万,17525元,内环内,江南新村（徐汇）(徐汇斜土路)地图,sh1850194举报假一赔百细则,3室0厅1卫,暂无数据,62.05平,暂无数据,中区/5层,精装,南,2005-11-29,满五,置换,住宅 - 公寓,69231元/平,1954~2015年,住宅 - 公寓、住宅 - 老公寓、住宅 - 新里,112栋,2444户,上海高建物业有限公司、江南物业管理有限公司,上海徐房集团有限公司、上海江南造船厂房地产开发经营公司,20套在售二手房9套在租房源,62.05,
61,61,宝山,380,菊联路89弄,无,133万,13109元,外环外,文宝苑(宝山顾村)地图,sh4860806举报假一赔百细则,2室2厅1卫,有(一梯三户),76.19平,暂无数据,中区/11层,毛坯,南北,2008-10-22,满五,折现,住宅 - 公寓,2008年,住宅 - 公寓、商业类,73栋,1954户,上海捷森物业服务发展有限公司、捷森物业,上海捷茂房地产开发有限公司,28套在售二手房10套在租房源,,76.19,
62,62,徐汇,305,"桂平支路20弄（东樱花园）,桂平支路35弄（西樱花园）",无,106.8万,10522元,内中环,樱花园（徐汇）(徐汇康健)地图,sh4854707举报假一赔百细则,2室1厅1卫,暂无数据,50.41平,暂无数据,低区/6层,简装,南北,2000-05-10,满五,折现,住宅 - 公寓,65602元/平,1991~1993年,住宅 - 公寓,73栋,1379户,上海中房物业管理有限公司、锦龙物业、中房物业,上房地产,16套在售二手房10套在租房源,50.41,
63,63,徐汇,1580,"零陵路777弄,漕溪北路689号",无,553万,54506元,内环内,鑫国家园(徐汇徐家汇)地图,sh4851050举报假一赔百细则,4室2厅2卫,有(二梯四户),164.43平,暂无数据,高区/24层,精装,南北,2000-11-01,满五,折现,住宅 - 公寓,94300元/平,2001年,住宅 - 公寓,8栋,260户,上海驰骋物业管理有限公司,中心集团,3套在售二手房4套在租房源,164.43,
64,64,浦东,1720,银霄路39弄，银霄路100弄,无,602万,59335元,内环内,浦东世纪花园（公寓）(浦东花木)地图,sh4850848举报假一赔百细则,4室2厅2卫,有(二梯二户),189.6平,暂无数据,中区/30层,精装,南,暂无数据,满五,折现,住宅 - 公寓,94181元/平,2002~2005年,住宅 - 公寓,32栋,1198户,上海浦东物业管理公司、上海浦东世纪花园物业管理有限公司,上海联合发展有限公司、上海东上海联合置业有限公司,22套在售二手房18套在租房源,189.6,
65,65,黄浦,380,"西凌家宅路27弄,西藏南路1374弄,西凌家宅路111弄,西凌家宅路137弄,制造局路365弄,制造局路455弄,制造局路567弄",无,133万,13109元,内环内,西凌新邨(黄浦蓬莱公园)地图,sh4849526举报假一赔百细则,2室1厅1卫,有(一梯五户),54.5平,暂无数据,低区/7层,中装,北,暂无数据,满五,其它,住宅 - 公寓,住宅 - 公寓、住宅 - 新里,102栋,5130户,上海锦南物业经营有限公司,上实房地产,41套在售二手房19套在租房源,,,54.5,
66,66,闵行,629,"罗秀路1955弄,罗秀路1999弄",无,220.1万,21699元,中外环,嘉和花苑(闵行梅陇)地图,sh4848469举报假一赔百细则,2室2厅1卫,有(一梯三户),88.49平,暂无数据,高区/11层,暂无数据,南,2007-11-01,满五,折现,住宅 - 公寓,67952元/平,2000~2004年,住宅 - 公寓,67栋,1202户,上海中祺物业管理有限公司,上海美家房地产开发有限公司,5套在售二手房8套在租房源,88.49,
67,67,宝山,248,共康五村,无,86.8万,8555元,中外环,共康五村(宝山共康)地图,sh4848202举报假一赔百细则,1室1厅1卫,暂无数据,52.07平,暂无数据,低区/6层,精装,南北,2010-12-10,满五,置换,住宅 - 公寓,49287元/平,1992~1997年,住宅 - 公寓,220栋,3183户,上海高境物业管理有限公司、高镜物业,高境物业房地产开发有限公司、高镜开发集团,42套在售二手房0套在租房源,52.07,
68,68,普陀,700,"远景路97弄、中潭路100弄（四期）, 远景路97弄，中潭路100弄，中潭路99弄（一期）, 中潭路99弄79-159号，中潭路100弄78-156号（二期）, 中潭路33弄07～15号，中潭路99弄189~241号，中潭路91弄01~59号（三期）",暂无数据,245万,24148元,内环内,中远两湾城(普陀中远两湾城)地图,sh4848132举报假一赔百细则,2室2厅1卫,有(二梯四户),97.43平,暂无数据,高区/30层,精装,南,2004-03-29,满五,其它,住宅 - 公寓,71968元/平,2001~2006年,住宅 - 公寓,97栋,11603户,上海中远物业管理发展有限公司,上海万业企业股份有限公司,121套在售二手房58套在租房源,97.43,
69,69,宝山,455,沪太路2588弄,无,159.2万,15696元,中外环,上大阳光乾清园(宝山上大)地图,sh4848022举报假一赔百细则,3室2厅2卫,暂无数据,112.0平,暂无数据,高区/6层,精装,南北,暂无数据,满五,置换,住宅 - 公寓,住宅 - 公寓,61栋,732户,上海乾溪物业管理有限公司、上海乾溪置业总公司,上海建乾房地产开发有限公司,13套在售二手房0套在租房源,,,112.0,
70,70,浦东,248,"峨山路280弄,峨山路380弄,峨山路420弄",无,86.8万,8555元,内环内,港驳小区(浦东塘桥)地图,sh4846769举报假一赔百细则,1室1厅1卫,暂无数据,37.68平,暂无数据,高区/5层,精装,南北,2007-11-01,满五,折现,住宅 - 公寓,70406元/平,1976~1985年,住宅 - 公寓,47栋,1075户,上海浦东新区潍坊物业公司、潍坊物业,上海虹桥高尔夫俱乐部有限公司,7套在售二手房6套在租房源,37.68,
71,71,长宁,405,镇宁路465弄,暂无数据,141.8万,13971元,内环内,镇宁路465弄(长宁镇宁路)地图,sh4846283举报假一赔百细则,2室0厅1卫,暂无数据,46.88平,暂无数据,中区/6层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,84755元/平,1911~1993年,住宅 - 公寓,117栋,1656户,上海宝隆物业管理有限公司,无开发商,25套在售二手房5套在租房源,46.88,
72,72,普陀,440,"中山北路3620弄,中山北路3644弄,中山北路3676弄,中山北路3700弄",暂无数据,154万,15179元,内环内,曹家巷小区(普陀武宁)地图,sh4845740举报假一赔百细则,2室1厅1卫,暂无数据,51.56平,暂无数据,低区/6层,毛坯,南,暂无数据,满五,暂无数据,住宅 - 公寓,76136元/平,1977~1997年,住宅 - 公寓,44栋,983户,上海长风物业有限公司、上海瑞星物业管理有限公司、瑞星物业,上海华运房地产开发有限公司,13套在售二手房14套在租房源,51.56,
73,73,杨浦,340,凤城五村,无,119万,11729元,内环内,凤城五村(杨浦控江路)地图,sh4844663举报假一赔百细则,2室1厅1卫,暂无数据,48.89平,暂无数据,低区/6层,毛坯,南北,暂无数据,满五,折现,住宅 - 公寓,68711元/平,1956~1995年,住宅 - 公寓、商业类、住宅 - 新里,44栋,839户,上海卫百辛(集团)有限公司、卫百辛物业,上海卫百辛房地产经纪有限公司、卫百辛集团,19套在售二手房2套在租房源,48.89,
74,74,长宁,830,华山路894弄,暂无数据,290.5万,28633元,内环内,丁香大楼(长宁镇宁路)地图,sh4844350举报假一赔百细则,2室1厅1卫,有(二梯八户),79.0平,暂无数据,低区/18层,精装,南北,暂无数据,满五,暂无数据,住宅 - 公寓,108608元/平,1992年,住宅 - 公寓,2栋,282户,上海新长宁集团、长宁物业,暂无信息,2套在售二手房2套在租房源,79.0,
75,75,静安,405,"余姚路180弄,余姚路222弄,安远路515弄,新丰路607号,常德路1039弄,常德路1057弄",暂无数据,141.8万,13971元,内环内,新丰小区(静安江宁路)地图,sh4843738举报假一赔百细则,2室0厅1卫,有(一梯六户),46.43平,暂无数据,低区/7层,简装,南,暂无数据,满五,暂无数据,住宅 - 公寓,86255元/平,1983~1999年,住宅 - 公寓、住宅 - 新里,32栋,776户,康定物业,静安置业,13套在售二手房10套在租房源,46.43,
76,76,普陀,680,新村路2003弄,无,238万,23458元,内中环,愉景华庭(普陀万里)地图,sh4843661举报假一赔百细则,2室2厅1卫,有(一梯二户),99.5平,暂无数据,低区/13层,精装,南北,2007-10-07,满五,置换,住宅 - 公寓,68955元/平,2005~2007年,住宅 - 公寓,49栋,1632户,戴德梁行物业管理有限公司、戴德粱行物业管理顾问公司,上海华烨房地产有限公司,37套在售二手房13套在租房源,99.5,
77,77,杨浦,370,"延吉七村,营口路113弄",无,129.5万,12764元,内中环,延吉七村(杨浦黄兴公园)地图,sh4843406举报假一赔百细则,2室1厅1卫,有(二梯二十一户),66.07平,暂无数据,中区/14层,毛坯,南,暂无数据,满五,折现,住宅 - 公寓,63930元/平,1980~1987年,住宅 - 公寓,78栋,2575户,上海延吉物业管理有限公司、上海市卫百辛集团延吉物业管理有限公司、卫百辛物业,上海黄兴房地产责任有限公司、黄兴房地产开发有限公司,37套在售二手房4套在租房源,66.07,
78,78,浦东,550,"尚博路799弄1-45号,尚博路650弄",无,192.5万,18973元,中外环,金橘新苑(浦东三林)地图,sh4842818举报假一赔百细则,2室2厅1卫,有(一梯三户),81.45平,暂无数据,低区/11层,精装,南北,2006-11-17,满五,置换,住宅 - 公寓,住宅 - 公寓、商业类,59栋,2300户,上海悦华物业管理有限公司,上海中房置业股份有限公司、中房集团,15套在售二手房5套在租房源,,,81.45,
79,79,徐汇,498,"乐山路3号,乐山路25弄",无,174.3万,17180元,内环内,乐山大楼(徐汇徐家汇)地图,sh4842219举报假一赔百细则,2室1厅1卫,有(二梯八户),61.49平,暂无数据,低区/24层,简装,东南,2002-09-24,满五,折现,住宅 - 公寓,82136元/平,1991~1993年,住宅 - 公寓、住宅 - 写字楼,4栋,557户,上海高建物业有限公司、上海徐虹物业有限公司,无开发商,4套在售二手房3套在租房源,61.49,
80,80,黄浦,385,五里桥路252号,无,134.8万,13281元,内环内,五里桥路252号(黄浦五里桥)地图,sh4841855举报假一赔百细则,2室1厅1卫,暂无数据,47.0平,暂无数据,高区/7层,简装,南北,暂无数据,满五,折现,住宅 - 公寓,住宅 - 公寓,1栋,27户,上海永理置业管理有限公司,暂无信息,2套在售二手房0套在租房源,,,47.0,
